0.00	0.50	0.00	0.47	0.00	0.06	0.92	0.31	0.00	0.06	0.93	0.41	0.80	0.28	0.80
0.00	0.50	0.00	0.48	0.00	0.50	0.00	0.44	0.94	0.51	0.87	0.53	0.93	0.50	0.77
0.00	0.50	0.00	0.49	0.97	0.53	0.96	0.38	0.89	0.42	0.76	0.40	0.78	0.50	0.67
0.00	0.50	0.99	0.45	0.97	0.40	0.96	0.36	0.93	0.36	0.90	0.26	0.89	0.25	0.87
0.00	0.50	0.98	0.46	0.00	0.43	0.00	0.39	0.00	0.32	0.96	0.28	0.97	0.30	0.95
0.00	0.50	0.00	0.53	0.00	0.41	0.00	0.36	0.00	0.28	0.00	0.29	0.98	0.24	0.95
0.00	0.50	0.00	0.42	0.00	0.45	1.00	0.42	0.00	0.40	0.97	0.32	0.98	0.35	0.97
0.00	0.50	0.00	0.54	0.00	0.52	0.00	0.47	0.00	0.54	0.00	0.60	0.00	0.60	0.00
0.00	0.50	1.00	0.53	0.00	0.49	0.99	0.51	0.98	0.06	1.00	0.54	0.95	0.55	0.97
0.00	0.50	0.84	0.51	0.83	0.53	0.79	0.59	0.54	0.67	0.82	0.56	0.80	0.57	0.89
0.00	0.50	0.00	0.50	0.00	0.45	0.00	0.46	0.00	0.45	0.00	0.44	0.00	0.30	0.00
0.00	0.50	0.98	0.54	0.00	0.52	0.00	0.55	0.95	0.47	0.95	0.51	0.92	0.47	0.94
0.00	0.50	0.00	0.47	0.00	0.51	0.00	0.47	0.00	0.49	0.00	0.44	0.92	0.47	0.97
0.00	0.50	0.00	0.46	0.00	0.41	0.93	0.09	0.97	0.81	0.98	0.29	0.94	0.34	0.94
0.00	0.50	0.00	0.54	0.00	0.59	0.00	0.43	0.99	0.82	0.00	0.74	0.00	0.80	0.00
0.00	0.50	0.00	0.43	0.00	0.42	0.00	0.38	0.00	0.46	0.00	0.37	0.00	0.37	0.00
0.00	0.50	0.94	0.43	0.97	0.44	0.96	0.42	0.94	0.41	0.94	0.34	0.93	0.34	0.91
0.00	0.50	0.00	0.42	0.86	0.64	0.92	0.21	0.00	0.36	0.00	0.25	0.90	0.44	0.88
0.00	0.50	0.00	0.50	0.00	0.49	0.00	0.49	0.00	0.46	0.99	0.47	0.00	0.47	0.99
0.00	0.50	0.96	0.52	0.97	0.05	0.97	0.53	0.97	0.51	0.96	0.53	0.96	0.56	0.96
0.00	0.50	0.00	0.53	0.00	0.60	0.00	0.63	0.97	0.66	0.93	0.70	0.88	0.75	0.90
0.00	0.50	0.95	0.54	0.93	0.58	0.00	0.58	0.78	0.84	0.85	0.68	0.58	0.71	0.79
0.00	0.50	1.00	0.47	1.00	0.43	0.99	0.40	1.00	0.37	0.96	0.35	0.96	0.30	0.95
0.00	0.50	0.00	0.48	0.00	0.46	1.00	0.44	1.00	0.45	0.99	0.43	0.98	0.39	0.98
0.00	0.50	0.99	0.50	0.99	0.48	0.99	0.47	0.98	0.47	1.00	0.48	0.97	0.44	0.97
0.00	0.50	0.92	0.41	0.72	0.51	0.97	0.50	0.94	0.57	0.91	0.49	0.94	0.77	0.96
0.00	0.50	0.00	0.00	0.00	0.00	0.96	0.00	0.37	0.00	0.08	0.00	0.00	0.00	0.00
0.00	0.50	0.98	0.54	0.99	0.47	0.99	0.46	0.98	0.47	0.97	0.51	0.98	0.42	0.97
